iter	Passed	Remaining
0	4037	56523
1	8252	53644
2	11987	47949
3	16036	44101
4	20486	40972
5	26237	39356
6	30485	34840
7	34228	29950
8	38246	25497
9	42037	21018
10	47036	17104
11	52075	13018
12	59221	9111
13	63857	4561
14	68067	0
